og_representation,mapping
फौर,for
फॉर,for
शेतीकामी,for agricultural work
विनामोबदला,For free
महिन्यंासाठी,for months
महिनेसाठी,for months
फोरजेट,for tage
महिनेकरीता,for the month
महीनेकरीता,For the month
प्रयोजनासाठी,for the purpose
ंकरिताचा,For the sake of
स्किमसाठी,For the scheme
मुदतीकरिता,For the term
फोर्ड,Ford
फॉरेस्ट,Forest
फॉरेव्हर,forever
फाटा,fork
मर्,forms
फोर्ट,Fort
फोर्टिस,Fortis
फॉर्चुन,fortune
फॉरचुन,fortune
फॉर्च्युन,Fortune
फॉरच्युन,fortune
फॉरच्यून,FORTUNE
फॉरचून,fortune
फॉरच्युना,fortune
फोर्च्युना,fortune
फाऊंडेशन,Foundation
फाउंडेशन,Foundation
फाऊंटन,Fountain
फाउंटन,Fountain
एफपी,FP
एफपीनं,FP no
फ्रॅग्रन्स,Fragrance
फ्रान्सन,francen
फ्रान्सीस,francis
फ्रान्सिस,Francis
फ्रंगिपाणी,Frangipani
फ़ीरदौस,frdosh
मोकळी,free
नि,free
मोकळा,free
मुत,free
मोकळा,Free
मोकळ्,free
फ़्रि,free
फ्री,Free
फेन्ड्स,freinds
फ्रेंच,French
फ्रेनी,Freney
फ्रेशि,freshi
फ्रेसि,Fresi
फ्रेंड,friend
फ्रेंड्स,Friends
फ्रेन्डस,Friends
फ्रेंडस,friends
फ़्रेंड्स,Friends
फ्रेन्ड्स,Friends
फ्रेडस,friends
फ्रेन्डर्स,friends
फ्रेंडस्,Friends
फ्रेंडशिप,Friendship
फ्रेडशिप,friendship
कडील,from
मिळालेली,from
पर्यंत,from
पासून,from
पासुन,from
सोडून,from
दक्षिणेकडून,From the south
फ्रंट,front
समोरील,front
समोर,front
फ्रुट,Fruit
फल,fruit
फ्रूट,Fruit
फळबाजार,fruit market
एफएसआय,FSI
फ़ु,Fu
फुले,fule
भरलेले,full
फुल,full
फ़ुंडे,funde
फनफिस्टा,funfhista
फर,fur
भट्टीचामाळ,furance
फुरकान,Furkan
फर्निश,furnish
हिन्,"Further,"
फस,Fuss
फुटाणे,Futane
ज़ी,G
जी,G
ग्रा,g
जी+,G +
गक्र,G no
जीईएस,G.E.S
गअ,gaa
गामी,gaami
गाते,gaate
गावडे,gaavde
गबाडि,gabadi
गेबी,gabi
गडा,gada
गडब,gadab
गाडगेबाबा,gadgebaba
गाढव,gadhav
गडकरी,Gadkari
गद्रे,gadre
गफ्फार,gaffar
गफूर,Gafoor
गग,gag
गगन,gagan
गगनदिप,gagandeep
गणादीप,gagandeep
गगनदीप,Gagandeep
गगनगीरी,gagangir
गगनगिरी,Gagangiri
गगन॑गिरी,gagangiri
गगनविहार,gaganvihar
गगगिरी,gagiri
गहानखत,Gahankhat
गहाखताचे,gahavtache
गहाणताचा,gahentacha
गझला,gahjla
गाई,gai
गायकवाड,Gaikwad
गाईवाडी,gaivadi
गज,gaj
गजा,gaja
गज़ानन,gajanan
गजानन,Gajanan
गजानना,gajanana
गजानंद,gajanand
गजस्कंध,gajaskandh
गजबधन,gajbandhan
गजबधंन,gajbandhan
गज़दर,gajdar
गझाला,gajhala
गझदर,gajhdhar
गजलक्ष्मी,gajlaxmi
गजमुख,gajmukh
गजराज,gajraj
गजवक्रतुंड,gajvakratund
गाळज्ञ,galagya
गालससिआ,galasasia
गेलेक्सी,galaxy
गॅलॅक्सी,galaxy
गालक्सी,galaxy
गँलेक्सी,galaxy
गेलक्सी,galaxy
गेलॅक्सी,galaxy
गॅलेक्सी,Galaxy
गॅलक्सी,Galaxy
गैलेक्सी,Galaxy
गँलक्सी,galaxy
गलेक्सी,galaxy
गालेक्सी,galaxy
गॅलॅक्सि,galaxy
गॅलेक्झी,galaxy
गॅॅलक्सी,galaxy
गॅॅलेक्सी,galaxy
गॉलेक्सी,galaxy
ग्लॅक्सी,galaxy
ग्लेक्सी,galaxy
“गॅलेक्सी,Galaxy
गॅलेक्सी,Galaxy
गॅलेक्सि,Galaxy
गाळेगांव,galegaon
गॅलेसि,Galesi
गल्ली,Gali
पोटमाळा,gallery
गॅलेरी,gallery
गॅलेरि,gallery
गलेरि,gallery
गॅल्लेरि,gallery
गेलेरि,Gallery
गॅलरी,Gallery
गेम्बर्स,gambers
गंभीर,gambhir
गामदेवी,gamdevi
गेम,game
गामिनी,Gamini
गांमदेवी,gammadevi
गंुडेचा,gamudeca
गंुठे,gamuthe
गणा,gana
गणाधीश,ganadhira
गणाध्यक्ष,ganadhyaksh
गनं,ganam
गणनायक,gananaayak
गणंजय,gananjaya
गणपत,Ganapat
गणपती,Ganapati
गणात,ganat
गणत्रा,ganatra
गंडक,gandak
गंधार,Gandhar
गंधर्व,Gandharv
गंधर्वी,gandharvi
गांधी,Gandhi
गांधीग्राम,gandhigram
गांधीनगर,Gandhinagar
गणेगाव,Ganegaon
गणेगांव,Ganegaon
गणेशधाम,ganesadhama
गणेश,Ganesh
गणेश्,ganesh
गणेशा,Ganesha
गणेशम,ganesham
गणेशाय,ganeshay
गणेशदर्शन,ganeshdarshan
गणेशदीप,ganeshdeep
गणेशजी,Ganeshji
गणेशकृपा,Ganeshkripa
गणेशलिला,ganeshleela
गणेशवाडी,ganeshwadi
गणेश्वर,ganeshwar
गंगा,Ganga
गंगादिप,gangadeep
गंगादेवी,gangadevi
गंगाधर,Gangadhar
गंगाग,gangag
गंगागिरी,gangagiri
गंगाई,gangai
गंगाजल,gangajal
गंगाजी,gangaji
गंगाकुंज,gangakunj
गांगन,gangan
गंगन,gangan
गंगाराम,Gangaram
गंगासागर,gangasagar
गणगौरी,gangauri
गंगावाडी,gangavadi
गंगेश्वर,gangeshwar
गँगो,gango
गंगो,gango
गंगोञी,gangotri
गंगोत्री,Gangotri
गंगुाई,ganguai
गंगुबाई,Gangubai
गांगुली,Ganguly
गनी,gani
ग्नीक,ganik
गांजावाला,Ganjawala
गणरा,ganra
गणराज,ganraj
गंठे,ganthe
गांवठाण,ganvathana
गांवठण,ganvthan
गव,gaon
गावमौजे,gaon mauje
गावठाण,Gaothan
गावठाणी,gaothani
गॅरेज,garage
गराज,Garage
गॅॅरेज,garage
गरच्,garaj
गार्डेनि,Gardani
गार्डनी,garden
गार्डेन,garden
गर्डेन,garden
गाडर्न,garden
गारडन,garden
गारडेनि,garden
गार्डीनी,garden
गॉर्डन,garden
गार्डन,Garden
गार्डनि,gardeni
गार्डनस्,gardens
गार्डेंस,Gardens
गार्डेंनी,Gardens
गार्डीनिआ,gardinia
गरिबाचा,gareeb
गरीब,gareeb
ग़रीब,gareeb
गार्गी,gargi
गड,garh
गरी,gari
गरीमा,garima
गरिमा,garima
गारनेट,Garnet
गरोडि,garodi
गरोडी,garodi
गारोडि,garodi
गारोडी,garodi
गरीबचा,garreb
गरुडा,Garuda
गरुप्रसाद,garuprasad
गॅस,gas
डींग,gassing
ग,Gat
गट,gat
गटनं,Gat no
ग़ट,gata
फाटक,gate
गेट,gate
गेटच्,gate
गटनंबर,gate no
गेटवे,gateway
गौलोबा,gauloba
गौळवाडा,gaulvada
गौमूख,gaumukh
गौरकामथ,gaurakamath
गौरांग,Gaurang
गौरवसिटी,gauravcity
गौरेश,gauresh
गौरी,Gauri
गीरिदर्शन,gauridarshan
गौरीहर,gaurihar
गीरीकुंज,gaurikunj
गौरीनंदन,gaurinandan
गौरिपाडा,gauripada
गौरीप्रि,gauripri
गौरीश,gaurish
गौरीशंकर,Gaurishanker
गास,Gauss
गावमौजे,gavamauje
गावंड,gavand
गवाणपाडा,gavanpada
गावंठाण,gavanthana
गवतपड,gavatapada
गावठणातील,gavathnatil
गावदेव,gavdev
गावदेवी,Gavdevi
गावंदेवी,gavdevi
गव्हाणपाडा,gavhanapada
गव्हनपाडा,gavhnpada
गावियो,gaviyo
गवळी,gavli
गावठाणात,gavnatath
गवराई,gavrai
गावठण,gavthan
गावठन,gavthan
गावठाणची,gavthanji
गावड,gawad
गायत्री,Gayatri
गायीत्री,Gayatri
गायत्रीधाम,gayatridham
गायमुक,gaymukh
गायञी,gaytri
गायवाडी,gayvadi
जीबी,GB
जीसीसी,GCC
जीई,GE
गॅब्रीयल,gebriyal
जीईस,GEC
गीन,Geens
गीत,Geet
गित,geet
गीता,Geeta
गिता,Geeta
गितानगर,geeta nagar
गीतानगर,Geetanagar
गीतानील,geetanil
गितानिल,geetanil
गितांज़ली,geetanjali
गिंताजली,geetanjali
गीताश्री,geetashri
गीते,geete
गीतिका,Geetika
गितानील,geetnil
गेहलोत,Gehlot
गॅलेक्टीका,gelektika
जेम,Gem
जेमिनी,Gemini
जेनेसिस,Genesis
जिनेवा,Geneva
जेनेव्हीआ,Geneva
जिनिव्हि,Geneva
जेनेवी,Genève
जेनेव्हीव,Genevieve
जिनियस,Genius
गेनु,genu
जॉर्ज,George
जार्जि,George
जीइएस,GES
जीएफ़,GF
जीजी,GG
जीएच,GH
घबील,ghabil
घडी,ghadi
घाडी,ghadi
गफार,Ghaffar
घनसोलि,ghanasoli
घनसोली,ghanasoli
घणसोली,ghanasoli
घणसोलि,ghanasoli
घनी,ghani
घनशाम,ghansham
घनसेाली,Ghansoli
घणसेाली,ghansoli
घंटाळी,ghantali
घंटी,ghanti
गर,ghar
घराणा,gharana
घराना,gharana
घरकुल,Gharkul
घरकूल,gharkul
घरोेंदा,gharonda
घरेांदा,gharonda
घरोंदा,gharonda
घरपरसाव,gharparsav
घरटणपाडा,ghartanpada
घासवाला,ghasswala
घाट,ghat
घाट्कोपर,ghat kopar
घाटला,ghatala
घाटिपाडा,ghatipada
घटकोपर,ghatkopar
घाटकेापर,ghatkopar
घाटकोपरपु,ghatkopar
घाटक्ोपर,ghatkopar
घटस्फोट,Ghatsfot
घटस्पोट,ghatspot
गज़ल,Ghazal
घेलाभाई,ghelabhai
घेलादेवी,gheladevi
घिमणी,ghimani
जीएचओ,GHO
घोबंदर,ghobandar
घेाडदेव,ghod dev
घोडपदेव,ghodapdev
घोडबदर,ghodbadar
घाेडबंदर,ghodbandar
घोडेला,ghodela
घोडिवली,ghodivali
घोगारी,ghogari
घोलाई,gholai
घोष,Ghosh
गिडवानी,Gidwani
गिफ्ट,Gift
गिक,gik
गिल्बर्ट,Gilbert
गिलबर्ट,Gilbert
गिनी,gini
गिरधर,girdhar
गीरधर,girdhar
गिरगाव,girgaon
गीरगांव,girgaon
गिरी,Giri
गिरि,Giri
गीरी,giri
गिरीदर्शन,giridarshan
गिरीधर,Giridhar
गिरिधर,giridhar
गिरीद्वार,giridwar
गिरीजा,Girija
गिरिजा,Girija
गिरीजाई,girijai
गिरीजात्मक,girijatmak
गिरीकृपा,girikripa
गिरीकंुज,girikunj
गिरीकुंज,girikunj
गिरीराज,Giriraj
गीरीराज,Giriraj
गिरिराज,Giriraj
‘’गिरीराज,giriraj
गिरिराज़,giriraj
गिरीश,Girish
गिरीष,Girish
गिरीशिखर,girishwar
गिरीविहार,girivihar
गिरनार,Girnar
गीरनार,girnar
गिताबाई,Gitabai
गीताई,gitai
गिताजंली,gitajanli
गीताजंली,gitajanli
गीतांजली,Gitanjali
गितांजली,gitanjali
गिते,Gite
दिलेले,Given
दिली,Given
दिलेली,given
जीएल,GL
ग्लॅडी,gladdy
ग्लॅडीज,gladies
ग्लॅडीओलस,gladiolas
ग्लास,Glass
ग्लॅडीस,gledis
ग्लेन,Glen
ग्लेनगेट,glen gate
ग्लेनडले,glendale
ग्लेंडेल,Glendale
ग्लिटर,Glitter
ग्लिट्ज,glitz
ग्रोवेल,global
ग्रोवल,global
ग्लोबल,Global
ग्लोब,globe
ग्लोमॅक्स,glomax
,glomeksa
ग्लोरीअस,glorious
ग्लोरिस,glorious
ग्लोरीयस,glorious
ग्लोरियस,Glorious
ग्लोरी,Glory
ग्लोरि,Glory
ग्लोमेक्स,glowmax
जीएनपी,GNP
गो,go
जा,go to
गोवा,Goa
गोबिंदसिंह,gobindsingh
गौड,god
गॉड,God
गोदाई,godai
गोडाऊ,godau
गोदावरी,Godavari
गोडावुन,godavun
गोडावून,godawoon
गोडबोले,godbole
गोडदेव,goddev
गोड्देव,godev
गोदी,godi
गोडाउन,Godown
गाडोऊन,godown
गोडाऊन,godown
गोदरेज,Godrej
गॉडस,Gods
गोडस,gods
गॉड्स,Gods
गोगटेवाडी,gogatevadi
गोग्रासवाडी,gograssvadi
गोग्री,gogri
गोहील,gohil
गोहिल,Gohil
गोकर्णा,gokarna
गोखले,Gokhale
गेाखिवरे,gokhire
गोखीवरे,gokhivare
गोखिवरे,gokhivare
गोखिवारे,gokhivare
गोखिवेर,gokhiver
गेाकुळ,gokul
गोकूल,gokul
गोेकुळ,gokul
गोकुल,Gokul
गोकूळ,gokul
गोकळ,gokul
गोकुलनगर,gokul nagar
गोकुलम,gokulam
गोकुलदास,gokuldas
गोकुळदास,gokuldas
गोकुळदिप,gokuldeep
गोकुळधाम,Gokuldham
गोकुलधाम,gokuldham
गोकूळधाम,gokuldham
गोकुलेश,gokulesh
गोकुळनगर,gokulnagar
गोकुळनगरी,gokulnagri
गोकुळपार्क,gokulpark
गोलानी,golani
गोलवली,golavali
गोलावली,golavali
गोल्ड,Gold
गोल्डक्रीस्ट,Gold Christ
गेल्डा,golda
गोल्डक्रोफ्ट,goldcoft
गोल्डक्राफ्ट,goldcraft
गोल्डक्रिस्ट,goldcrist
गोल्डल,golden
गोल्डर्स,Golders
गोल्डफिल्ड,goldfield
गोल्ड्स,Golds
गोल्डस्टार,goldstar
गोल्फ,Golf
गोळीबार,golibar
गोलीबार,golibar
गोळीवली,golivali
गोलोबा,goloba
गोमा,Gomaa
गोमाजी,Gomaji
गोमंत,gomant
गोमांत,gomant
गोमंती,gomanti
गोम्स,Gomes
गोमेत,gomet
गोमी,gomi
गोमती,Gomti
गोंविद,gonvid
गोंविंद,gonvind
गुड,Good
गुडलक,good luck
सुमुख,good-looking
गुडवील,goodwill
गुडविल,Goodwill
गूडविल,goodwill
गोल्डक्रॉफ्ट,gooldcraft
गौस,goos
गोपाल,Gopal
गोपाळ,Gopal
गोपाळा,Gopal
गोपाळकृष्ण,Gopal Krishna
गोपाला,Gopala
गोपालकृष्ण,gopalkrishn
गोपाळनगर,gopalnagar
गोपालनगर,Gopalnagar
गोपानी,Gopani
गोपी,Gopi
गोपीगन,gopigan
गोपिका,Gopika
गोपीनाथ,Gopinath
गोराडी,goradi
गोराडि,goradi
गोरागांधी,goragandhi
गौराई,gorai
गोरार्इ,gorai
गेाराई,gorai
गोरक्षधाम,goraksadham
गौरक्ष,goraksh
गोरसवाडी,gorasavadi
गोरबंध,gorbandh
गोरडी,Gorde
गोरदीप,gordeep
गोरदिप,gordeep
गोवर्धनदास,Gordhandas
गोरेगांवकर,goregaanvakar
गोरेगंाव,goregaon
गेारेगाव,goregaon
गोरेगावं,goregaon
गोरेगंावप,goregaon
गोेरेगाव,goregaon
गोेरेगंाव,goregaon
गोरगाव,Goregaon
गोरेगावकर,Goregaonkar
गोेरगाव,gorgaon
गोेरगांव,gorgaon
गौरीदर्शन,goridarshan
गोैरीपाडा,goripada
गौरीसुत,gorisut
गौरकामात,gorkamat
गौरु,goru
गोशाला,goshala
गौसि,gosie
गोस्वामी,Goswami
मिलच्,got
गोठिवली,gothivali
गौरव,Gourav
गैारव,gourav
गैारी,gouri
गौतम,goutam
गैातम,goutam
गोवाली,govali
गोवंडी,Govandi
गोवर्ध,govardha
गोवर्धन,Govardhan
गोर्वधन,govardhan
गव्हर्नमेंट,government
गव्हरमेंट,government
गव्हर्मेंट,Government
सरकारी,government
गव्हर्न्मेंट,Government
शासकीय,Government
गोविद,govind
गोविंद,Govind
गेाविंद,govind
गोवींद,govind
गोविंदनगर,govind nagar
गोविंदसिंह,govind singh
गोविंदा,Govinda
गोविदं,govindan
गोविंददास,govinddas
गोविंदास,govinddas
गोविंदधाम,govinddham
गोविंदपुरी,govindpuri
गोयल,Goyal
जीआर,GR
ग्रेस,Grace
ग्रासियोउस,Gracious
ग्रेशियस,gracious
ग्रॅ्डे,grade
ग्रॅंडियर,gradier
ग्रॅडीयर,gradiour
ग्रॅडयुअर,graduar
ग्राहक,grahak
ग्रेन,Grain
ग्रेन्वील,grain vil
ग्राम,gram
ग्रापंचायत,gram panchayat
ग्रामपंचायत,gram panchayat
ग्रांमपंचायत,gram panchayat
ग्रामंचायत,gram panchyat
ग्रौंड,grand
ग्राँड,grand
ग्रँड,Grand
ग्रॅन्ड,Grand
ग्रेन्ड,grand
ग्रॉन्ड,grand
ग्रॅण्ड,Grand
ग्रांड,Grand
ग्रँन्ड,Grand
ग्रेंड,Grand
ग्रंडे,grande
ग्रॅन्डे,grande
ग्रेंडे,grande
ग्रॅण्ड्युअर,Grandeur
ग्रॅण्डीयर,grandeur
ग्रंडीअर,grandeur
ग्रॅंन्डीअर,grandier
ग्रॅन्डीयर,grandier
ग्रॅण्डीयेर,grandiet
ग्रान्डनेस,Grandness
ग्रॅंडएव्हर,Granduer
ग्रॅन्ड्युर,Granduer
ग्रेंज,Grange
ग्राँट,grant
ग्रान्ट,grant
ग्रॅन्ट,grant
ग्रँट,Grant
ग्रांट,"Grant,"
ग्राप,grape
ग्रेप्स,grapes
गवत,grass
गवताळ,Grassland
गवतपड,Grassland
ग्रेसी,grassy
ग्रासि,grassy
ग्रे,Gray
ग्रेट,Great
ग्रेटर,Greater
ग्रीन्फिल्ड्स,greemfieds
ग्रिन,Green
ग्रीन,green
ग्रीन्,Green
ग्रीन,green
ग्रीनस,green
ग्रिनफिल्ड,green field
ग्रिनफिल्डस,green fields
ग्रिनहिल्स,green hills
ग्रीनविले,green ville
ग्रीनडेल,greendale
ग्रीनस्केप,Greenescape
ग्रीनफिल्ड,Greenfield
ग्रीनफील्ड,greenfield
ग्रीनफील्डस,greenfield
ग्रीनफिल्डस,Greenfield
ग्रीनफ़ील्ड,greenfield
ग्रिनफिल्ड्स,Greenfields
ग्रीनफिल्ड्स,Greenfields
ग्रीन्फील्ड्स,greenfields
ग्रीनफील्ड्स,greenfields
ग्रीनलॅन्ड,greenland
ग्रीनलॅड,greenland
ग्रीनलॅण्ड,greenland
ग्रिनलॅन्ड,greenland
ग्रीनलँड,Greenland
ग्रीनपार्क,greenpark
ग्रिनपार्क,greenpark
ग्रीन्स,greens
ग़्रीन्स,greens
ग्रिनविच,greenvich
ग्रीनव्यु,greenview
ग्रेनविल्ले,greenville
ग्रीनविल,Greenville
ग्रीनविच,Greenwich
ग्रीनवुड,Greenwood
ग्रीनवूड,Greenwood
ग्रिनवुड,greenwood
ग्रीनवुडस्,Greenwoods
ग्रीनवूड्स,greenwoods
ग्रीनवुड्स,greenwoods
ग्रीनवूडस,Greenwoods
ग्रीष्मा,Greeshma
ग्रीट,Greet
ग्रिट,greet
ग्रेग,Greg
गृहस्वप्न,grehswapn
ग्रेनद्युअर,Grenadier
ग्रेनविले,Grenville
ग्रेटा,Greta
गृह,grih
ग्रीलच्,grills
ग्रिष्मा,grisma
ग्रोहीतम,grohitam
ग्रोहितम,grohitam
ग्रेाहीतम,grohitam
ग्रोहित्तम,grohittam
ग्रोहीत्तम,grohittam
ग्रोमा,groma
ग्रोटो,grotto
तळ,ground
जमिनी,ground
जमीनी,ground
ग्राऊंड,ground
ग्राउंड,ground
ाल,ground
जमीनी,ground
ग्राउन्ड,ground
तळमज़ला,ground floor
तलमज़ला,Ground floor
तलमजला,ground floor
तळमज़ल,ground floor
तळ्मज़ला,ground floor
तळमज़ळा,ground floor
मळमजला,ground floor
तळमजलाचे,ground floor
तअमज़ला,ground floor
तळमजला,ground floor
तळमजल,ground floor
तळमजळा,ground floor
तळमजल्,ground floor
जळमजला,Ground floor
तलावाजवळ,ground floor
तल्मजअला,ground floor
तळमला,ground floor
तळम्ज़ला,ground floor
तहमजला,ground floor
पोटमाला,ground floor
पोटमाळ,ground floor
लामाळा,ground floor
ळमजला,ground floor
तळमजा,ground floor
तळमजला+,ground floor +
तळ्मजला,groundfloor
तड,groundfloor
तळजला,groundfloor
ग्रुप,Group
गुप,Group
ग्रृप,group
ग्रुपग्रामपंचायत,group grampanchayat
ग्रोव,Grove
ग्रोव्ह,grove
ग्रेाव,grove
ग्रोव्हज,groves
ग्रोमोर,growmore
वाढीसह,growth
ग्रु,gru
गृहलक्ष्मी,gruhalaxmi
जीटीबी,GTB
गुडि,gudi
गुडी,gudi
अंदाजे,guess
गेस्ट,guest
गुफा,gufa
गुफिक,gufhik
गुजरात,Gujarat
गुजराती,Gujarati
गुजर,gujjar
गुल,Gul
गुलाब,Gulaab
गुलाबी,gulaabi
गुलबकावली,gulabkaveli
गुलालवाडी,gulabvadi
गुलस्तान,gulastan
गुलाटी,Gulati
गुलिस्थान,gulishtan
गुलिस्तान,gulistan
गुलीस्तान,gulistan
गुलमार्ग,gulmarg
गुलमर्ग,Gulmarg
गुलमोहन,gulmohan
गुलामोहर,gulmohar
गुलमोहर,Gulmohar
गुलमेाहर,gulmohar
गुलनार,gulnaar
गुलराज,gulraj
गुलशन,Gulshan
गुलज़ार,Gulzar
गुंडेचास,gunchecha
गुंदवली,gundavali
गुंडेचा,Gundecha
गंुडेचा,gundecha
गुंडेजा,gundecha
गुन्डेचा,gundecha
गुंदेचा,gundeche
गुंडेजास,gundejas
गुंढे,gundhe
गुणीदास,gunidas
गुनिना,gunina
गुनीना,Gunina
गुंजन,gunjan
गुणनिधी,gunnidhi
गुणसागर,gunsagar
गुंठा,Guntha
गुंठे,gunthe
गूंठे,gunthe
गुं,Gunvor
गुंज,Gunz
गुप्ता,Gupta
गुप्ते,Gupte
गुरुाथ,gurath
गुरव,Gurav
गुरबानी,Gurbani
गुरुद्वारा,Gurdwara
गुरु,Guru
गुरू,Guru
गुरुचिंतन,Guru Chintan
गुरुदत्त,Guru Dutt
गुरुनानक,Guru Nanak
गुरूनानक,Guru Nanak
गुरुप्रकाश,guru prakash
गुरुसिमरन,guru simran
गुरुव्हिला,guru villa
गुरुआशिष,guruashish
गुरुआत्मन,guruatman
गुरुभक्ती,gurubhakti
गुरुछा,gurucha
गुरूचिंतन,guruchintan
गुरुदर्शन,Gurudarshan
गुरूदत्त,gurudatta
गुरुदत्ता,gurudatta
गुरुदेव,Gurudev
गुरूदेव,Gurudev
गुरुदेवदत्त,gurudevdatt
गुरूधाम,gurudham
गुरुदृष्टी,gurudhristi
गुरुजी,guruji
गुरुकमल,Gurukamal
गुरुकिर्ती,gurukirti
गुरुकृपा,gurukripa
गुरूकृपा,gurukripa
गुरुक्रिपा,gurukripa
गुरुकुल,Gurukul
गुरूकुल,Gurukul
गुरुकुंज,gurukunj
गुरुकुटीर,gurukutir
गुरुमंदिर,gurumandir
गुरुमाऊली,gurumauli
गुरुमाउली,gurumauli
गुरुमिलन,gurumilan
गुरुमुख,gurumukh
गुरुनाथ,Gurunath
गुरुपूजा,gurupooja
गुरूपुजा,gurupooja
गुरूप्रसाद,guruprasad
गुरुप्रसाद,guruprasad
गुरूप्रेम,guruprem
गुरुप्रेम,guruprem
गुरुप्रेरणा,guruprerana
गुरुप्रि,gurupri
गुरुपुजा,gurupuja
गुरूपुष्पा,gurupushpa
गुरुपुष्पामृत,gurupushpamatra
गुरुपुष्पम,gurupuspam
गुरुराज,Gururaj
गुरूराज,Gururaj
गुरुसदन,gurusadan
गुरूसदन,gurusadan
गुरूसमृध्दी,gurusamrdhdi
गुरुसमृध्दी,gurusamriddhi
गुरुसंकल्प,gurusankalp
गुरुसेवा,guruseva
गुरुशक्ती,gurushakti
गुरुशरण,Gurusharan
गुरुशरणम,gurusharnam
गुरुसृष्टी,gurushristi
गुरूसिमरन,gurusimran
गुरुस्मृती,gurusmriti
गुरुश्रध्दा,gurusradhda
गुरुतिर्थ,gurutheerth
गुरूवंदना,guruvandana
गुरुवर्य,Guruvarya
गुरूवाटीका,guruvatika
गुरुवाटीका,guruvatika
गुरुविद्,guruvid
गुरूविद्,guruvid
गुरुविहार,guruvihar
गुरुविला,guruvila
गुरुविल्ला,guruvilla
गुठे,guthe
गूठे,guthe
ज्ञान,gyaan
ज्ञानसागर,gyaansagar
ज्ञानदा,gyanda
ज्ञानदीप,gyandeep
ज्ञानदिप,gyandeep
ज्ञानेंद्र,Gyanendra
ज्ञानेश्वर,gyaneshwar
ज्ञानसाधना,gyansadhna
ज्ञानसारथी,gyansarthi
ज्ञी,Gyi
जिमखानाच्,gym food
जिमखाना,Gymkhana
जिप्सी,Gypsy
एच,H
ज,h
ता,h
ह,h
एच्,H
एज,H
झ,h
एच,H
‘एच’,H
हात,haath
हावे,haave
हावरेज,Haavreja
हॅब,hab
हबीब,Habib
हॅबीटॅट,habitat
हॅबिटेट,Habitat
हॅबिटेटस,Habitat
हॅबीटेट,habitate
हेबिटेट,habitate
हेबिटेट्स,habitates
हद्दी,haddi
हददीतील,hadditil
हद्दितील,hadditil
हद्दीतिल,hadditila
हडकर,hadkar
हाडकेश,hadkesh
हफीजा,hafeeza
हैदर,Haider
हजारी,hajari
हाजी,Haji
हाजीबापू,hajibapu
हाजीमि,hajimi
हाजुरी,hajuri
हजुरी,hajuri
हक्क,hakk
हक्कड,hakkad
हक्कोडपत्राचा,Hakkodpatracha
हक्कसोडत,hakksodat
हलाव,halaav
हळदवणेकोंड,haladavanekonda
हॅली,Haley
हेली,Haley
½,half
आर्धा,half
हाफ,half
अर्धा,half of
निम्मी,half of
निम्मा,half of
हलिमा,halima
हालिमा,halima
हलीमा,Halima
हालीवली,halivali
हलकारा,halkara
हॉल,hall
हाळ,hall
हॉलच्,hall
हॅले,Halley
हॉलमार्क,Hallmark
हमाल,hamal
हमारा,hamara
हमरापुर,hamarapur
हेमिल्टन,Hamilton
हॅमिल्टन,Hamilton
हमिरमल,hamiramal
हमीरमल,hamirmal
हेमलेट,Hamlet
हम्मालवाडा,hammalvada
हामपुर,hampur
हमजा,Hamza
हमझा,Hamza
सुपूर्द,handed
हनीफ़,haneef
हंजर,hanjar
हंस,Hans
हंसा,Hansa
हंसिका,Hansika
हंसनगर,hansnagar
हंसोटी,hansoti
हंसराज,Hansraj
हनुमान,Hanuman
हनूमान,hanuman
हॅपीनेस,happiness
हॅप्पी,Happy
हॅपी,Happy
हॉपी,happy
हॅपीहोम,happy home
हेप्पीहोम,happy home
हरणवाडी,haranvadi
हरबंसलाल,harbanslal
हर्बेलि,harbeli
हरभजन,harbhajan
हर्बर,Harbor
हार्बर,harbour
हारबर,harbour
हरचू,harchu
हर्चू,harchu
हार्ड,Hard
हार्डरॉक,Hard Rock
हरदास,Hardas
हरदेवीबाई,hardevibai
हार्दिक,hardhik
हार्दीक,Hardik
हरे,Hare
हरेकृष्णा,Harekrishna
हरेकृष्ण,Harekrishna
हरेश,Haresh
हरेश्वर,Hareshwar
हरगोविंदजी,hargovindji
हरी,Hari
हरि,Hari
हरि,Hari
हरीओम,Hari om
हरिभाऊ,haribhau
हरीभाऊ,Haribhau
हरिचंद,harichand
हरीचंद,harichand
हरीदर्शन,Haridarshan
हरिदर्शन,haridarshan
हरीदास,haridas
हरिदास,Haridas
हरिधाम,Haridham
हरीधाम,haridhama
हरिधारा,haridhara
हरिद्रा,haridra
हरीद्वार,Haridwar
हरीव्दार,haridwar
हरिव्दार,haridwar
हरिद्वार,Haridwar
हरीगंगा,hariganga
हरिग्राम,harigram
हरिहंत,harihant
हरीहर,harihar
हरिहर,Harihar
हरीहरेश्वर,harihareshwar
हरीकृपा,Harikripa
हरिकृपा,harikrpa
हरीकुंज,harikunj
हरिद्र,harindra
हरीनिकेतन,hariniketan
हरिनिवास,hariniwas
हरीनिवास,hariniwas
हरिओम,Hariom
हरीओेम,hariom
हरीप्रसाद,hariprasad
हरिप्रसाद,Hariprasad
हरीप्रि,haripri
हरिप्रि,haripri
हरीराज,hariraj
हरिशचंद्र,harisachandra
हरीश,Harish
