og_representation,mapping,confusion,frequency,example
परखमगूजर,Parkhamgoojar,,8,"चौमुहाँ, परखमगूजर"
परखम,Parkham,,2,"चौमुहाँ, परखमगूजर"
परिहार,Parihar,,2,परिहार
परचूनगी,Parchungi,,1,परचूनगी
पारसपल्सर्स,Paras pulsers,y,1,पारसपल्सर्स
पनवारी,Panvari,,6,अंसल ए पी आई पनवारी
पनोता,Panota,,1,पनोता
पनियांढाल,Paniyadhal,y,1,पनियांढाल
पंचवटी,Panchvati,,6,नगर पंचवटी/विस्तार
पंचकुन्या,Panchkunya,,1,पंचकुन्या
पंचकुईया,Panchkuiya,y,1,पंचकुईया
पनचक्की,Panchakki,,3,पनचक्की
पनौता,Panauta,,6,"छीतापुरा मोतीपुरा, नदीम, पनौता"
पलसों,Palso,y,5,पलसों
पल्लेदार,Palledar,,1,पल्लेदार
पालखेड़ा,Palkheda,,4,पालखेड़ा
पालखेडा,Palkheda,,1,पालखेडा
पलिया,Paliya,,2,आराजी पलिया
पालीखेडा,Palikheda,,4,पालीखेडा
पालीखेड़ा,Palikheda,,1,पालीखेड़ा
पाली,Pali,,25,उत्तम नगर एवं पालीवाल विद्यालय के पीछे की विक ासशील आबादी
पखरपुर,Pakharpur,,3,पखरपुर
पैसई,Paisai,y,1,पैसई
पैंतखेडा,Paintkheda,,5,"खाँड़ा, पैंतखेडा"
पैंतीखेड़ा,Paintikheda,,6,पैंतीखेड़ा
पैंठा,Paintha,,8,पैंठा
पैंठ,Painth,,2,पुरानी पैंठ
पैगाँव,Paigaon,y,18,पैगाँव
पैंगाव,Paigaon,y,1,पैंगाव
पई,Pai,y,3,"नेरा बांगर, मौहपई बॉगर"
पाहिरजौरा,Pahirjaura,,1,पाहिरजौरा
पहाड़पुरा,Pahadpura,,1,पहाड़पुरा
पहाडीखुर्द,Pahadikhurd,,1,पहाडीखुर्द
पहाडीकला,Pahadikala,,1,पहाडीकला
पड़रारी,Padrari,,19,"इटौली, जगतिया, पड़रारी"
पडकौली,Padkauli,,3,पडकौली
पाडल,Padal,,4,"पलसों, पाडल"
पचमौरी,Pachmauri,,5,"इरादतनगर, पचमौरी"
पचावर,Pachavar,,17,"खानपुर, पचावर"
पछैया,Pachaiya,,1,पछैया
पचहरा,Pach hara,y,2,"कौलाहर, पचहरा"
पब्बीपुर,Pabbipur,,3,"कराहरी, पब्बीपुर, पब्बीपुर"
ओमेक्स,Omex,y,2,ओमेक्स
ओमेक्‍स,Omex,y,1,ओमेक्‍स
ओमनगर,Om nagar,,1,ओमनगर
ओल,Ol,y,2,ओल
नुनेरा,Nunera,,5,"नगौड़ा, नुनेरा"
नूरपुर,Noorpur,,18,"उऩ्देरा, नूरपुर"
नोफरी,Nofri,,1,नोफरी
नोबरी,Nobri,,1,नोबरी
नोबस्ता,Nobasta,,1,नोबस्ता
निरालाबाद,Niralabad,,1,निरालाबाद
निनवाया,Ninvaya,,7,"अरदाया, निनवाया"
निमैना,Nimaina,,14,"कुल्हाड़ा, निमैना"
निबोहरा,Nibohara,,3,निबोहरा
नेकपुर,Nekpur,,3,नेकपुर
नीवरीरोड,Neevri road,,1,नीवरीरोड
नीमगांव,Neemgaon,y,7,नीमगांव
नीमगॉव,Neemgaon,y,1,नीमगॉव
नीमडाँडा,Neemdanda,,3,नीमडाँडा
नीलकंठ,Neelkanth,,3,ओम नीलकंठ धाम
नयेपुरा,Nayepura,,1,नयेपुरा
नयावास,Nayavas,,5,"अछनेरा, दौलतावाद, नयावास"
नयापुरा,Nayapura,,2,नयापुरा
नयागांव,Nayagaon,y,1,नयागांव
नावली,Navli,,6,"चांदपुर कलां, लालपुर मांट, नावली"
नवीपुर,Navipur,,23,अब्दुल नवीपुर खादर
नवलपुर,Navalpur,,2,नवलपुर
नवादा,Navada,,4,नवादा
नौवरी,Nauvari,,1,नौवरी
नौशेरपुर,Nausherpur,,1,नौशेरपुर
नौशेपुर,Naushepur,,1,नौशेपुर
नौरंगा,Nauranga,,14,"इटौली, जगतिया, भोजुआ, खजूरी, नौरंगा"
नौनी,Nauni,,13,"उदैना, नौनी"
नौंगाव,Naungav,y,2,नौंगाव
नौनेरा,Naunera,,1,नौनेरा
नौलक्खा,Naulakkha,,2,नाला नौलक्खा
नौहझील,Nauhjheel,,13,नौहझील
नौहरिका,Nauharika,,4,"नगला शेखूपुर, नौहरिका"
नौगवाँ,Naugava,y,3,नौगवाँ
नौगांव,Naugaon,y,2,नौगांव
नौगांवा,Nauganva,,6,नौगांवा
नौफरी,Naufari,,3,नौफरी
नौगाँव,Nau gaon,,1,नौगाँव
नटराजपुरम,Natrajpuram,,2,नटराजपुरम
नसीटी,Nasiti,,1,नसीटी
नसीराबाद,Naseerabad,,2,नसीराबाद
नसौआ,Nasauaa,y,10,"कौड़री, नसौआ"
नरवेहंसी,Narvehansi,,1,नरवेहंसी
नरवैहंसी,Narvaihansi,,1,नरवैहंसी
नरीपुरा,Naripura,,9,अजीजपुर ( नरीपुरा ट्रान्सफॉर्मर से अजीजपुर सिरौली मोड तक)
नरी,Nari,,11,अजीजपुर ( नरीपुरा ट्रान्सफॉर्मर से अजीजपुर सिरौली मोड तक)
नरहौली,Narhauli,,9,नरहौली
नरायणपुरी,Narayanpuri,,1,नरायणपुरी
नारौल,Naraul,,9,"इकराम नगर, नारौल"
नानपुर,Nanpur,,1,नानपुर
नन्दनपुरम,Nandpuram,,1,नन्दनपुरम
नन्दपुरा,Nandpura,,1,नन्दपुरा
नन्दगांव,Nandgaon,y,10,नन्दगांव
नंदगांव,Nandgaon,,4,नंदगांव
नन्दचौक,Nandchauk,,1,नन्दचौक
नानऊ,Nanau,y,3,"अरसैना, नानऊ"
नामनेर,Namner,,2,नामनेर
नामेनर,Namenar,,1,नामेनर
नखासा,Nakhasa,,1,नखासा
नाजिरपुरा,Najirpura,,5,नाजिरपुरा
नैनूपट्टी,Nainupatti,,3,नैनूपट्टी
नैनूपटटी,Nainupatti,,1,नैनूपटटी
नहटौली,Nahtauli,,1,नहटौली
नाहरा,Nahra,,3,नाहरा
नहचानी,Nahchani,,14,"डावली, वसैया रायमल, नहचानी"
नहर्रा,Naharra,y,3,नहर्रा
नाहरगंज,Naharganj,,2,नाहरगंज
नगूपुरा,Nagupura,,1,नगूपुरा
नगरी,Nagri,,2,आर०के०पुरम (ताजनगरी फेस 1)
नगलाकासिमपुर,Naglakasimpur,,1,नगलाकासिमपुर
नगौड़ा,Nagauda,,13,"नगला अर्जुन, नगौड़ा, नगला टोडर, सौंख खेड़ा"
नगरिया,Nagariya,,8,चौर नगरिया
नगरचन्द,Nagarchand,,1,नगरचन्द
नागर,Nagar,,11,"अ़़टूस, नागर"
नागल,Nagal,,3,"गौंगा, नागल"
नदगवाँ,Nadgava,y,3,नदगवाँ
नदीम,Nadeem,,24,"छीतापुरा मोतीपुरा, नदीम"
नदौता,Nadauta,,3,नदौता
नादऊ,Nadau,y,4,उडान चक नादऊ नरायच
नबीपुर,Nabipur,,1,नबीपुर
मुवारिकपुर,Muvarikpur,,1,मुवारिकपुर
मुवारिजपुर,Muvarijpur,,2,"बबरौद, मुवारिजपुर"
मुटनई,Mutnaee,y,1,मुटनई
मुतबल्लियान,Mutballiyan,,1,मुतबल्लियान
मुटावई,Mutavaee,y,4,मुटावई
मुस्तफाबाद,Mustafabad,,3,मुस्तफाबाद
मूसेपुर,Musepur,,1,मूसेपुर
मुरशदपुरा,Murshadpura,,1,मुरशदपुरा
मुरलीधरपुर,Murlidharpur,,1,मुरलीधरपुर
मुरकिया,Murkiya,,5,मुरकिया
मूरजा,Murja,,1,मूरजा
मुरावल,Muraval,,1,मुरावल
मुरैंडा,Murainda,,6,"खङवाई, मुरैंडा"
मुण्डापाडा,Mundapada,,1,मुण्डापाडा
मुखवार,Mukhvar,,1,मुखवार
मुखराई,Mukhrai,y,1,मुखराई
मुखरई,Mukhraee,y,8,"पनौता, मुखरई"
मुखेरियान,Mukheriyan,,1,मुखेरियान
मुकटपुरा,Mukatpura,,1,मुकटपुरा
मुकन्दपुर,Mukandpur,,1,मुकन्दपुर
मुजाहिदपुर,Mujahidpur,,2,"महावन बांगर, मुजाहिदपुर"
मुजफ्फरपुर,Mujaffarpur,,7,पट्टी मुजफ्फरपुर
मुईउद्दीनपुर,Muiuddinpur,y,5,"कुरावली, मुईउद्दीनपुर"
मुईउददीनपुर,Muiuddinpur,y,1,मुईउददीनपुर
मुईददीनपुर,Muiddinpur,y,1,मुईददीनपुर
मुहम्मदपुर,Muhmmadpur,,6,"जाजोली, मुहम्मदपुर"
मुडसेरस,Mudseras,,3,मुडसेरस
मुड़सैनिया,Mudsainiya,,5,"नगला टोडर, मुड़सैनिया"
मुडि़यापुरा,Mudiyapura,,1,मुडि़यापुरा
मुडेसी,Mudesi,,1,मुडेसी
मुबारिकपुर,Mubarikpur,,2,मुबारिकपुर
मुबारिजपुर,Mubarijpur,,1,मुबारिजपुर
मोतीपुरा,Motipura,,15,छीतापुरा मोतीपुरा
मोतीकुंज,Motikunj,,1,मोतीकुंज
मोतीगंज,Motiganj,,1,मोतीगंज
मोरी,Mori,,7,"अभुआपुराT.Aअंदर, अभैदोपुरा, बरौली, मोरी"
मोहनपुरा,Mohanpura,,1,मोहनपुरा
मोहनपुर,Mohanpur,,2,मोहनपुर
मोहम्मदपुर,Mohammadpur,,1,मोहम्मदपुर
मोदीपुरा,Modipura,,3,मोदीपुरा
मीयापाडा,Miyapada,,1,मीयापाडा
मियांपुर,Miyanpur,y,1,मियांपुर
मिट्ठौली,Mitthauli,,2,मिट्ठौली
मित्रपुरम,Mitra puram,,1,मित्रपुरम
मिठठौली,Miththauli,,1,मिठठौली
मितावली,Mitavali,,3,मितावली
मिताइली,Mitaili,y,1,मिताइली
मिश्री,Mishri,,1,धिमिश्री
मिश्रान,Mishran,,2,मिश्रान
मिरताना,Mirtana,,1,मिरताना
मीनाक्क्षीपुरम,Minakshi puram,,1,मीनाक्क्षीपुरम
मीनाक्षीपुरम,Minakshi puram,,1,मीनाक्षीपुरम
मिल्ककलां,Milkkala,yy,1,मिल्ककलां
मिल्कखुर्द,Milk khurd,,1,मिल्कखुर्द
मिलिक,Milik,,3,मिलिक
मिहावा,Mihava,,1,मिहावा
मिहाबा,Mihaba,,17,"डाढ़की, मंगलपुरा बरतरा, मिहाबा, बसई कलॉ"
मिड़कौली,Midkauli,,1,मिड़कौली
मिढाकुर,Midhakur,,1,मिढाकुर
मेवली,Mevli,,17,"नगला कासिमपुर, मेवली"
मेवला,Mevla,,3,मेवला
मेहनकी,Mehanki,,3,मेहनकी
मेघपुर,Meghpur,,2,मेघपुर
मीठपुरा,Meethpura,,3,मीठपुरा
मीरपुर,Meerpur,,7,अमीरपुर
मीरगंज,Meerganj,,1,मीरगंज
मायापुरी,Mayapuri,,1,मायापुरी
मयापुर,Mayapur,,1,मयापुर
मौरा,Maura,,1,मौरा
मौहसनाबाद,Mauhasanabad,,1,मौहसनाबाद
मौहम्मदपुर,Mauhammadpur,,1,मौहम्मदपुर
मऊ,Mau,y,2,"छीतापुरा मोतीपुरा, स्यारमऊ"
मउ,Mau,,1,मउ
मारूफ,Maruf,,2,मारूफ
मानविहार,Manvihar,,1,मानविहार
मण्टोला,Mantola,,3,नाला मण्टोला
मन्सूरपुरा,Mansurpura,,1,मन्सूरपुरा
मंशाटीला,Manshateela,,1,मंशाटीला
मन्शापुरी,Manshapuri,,1,मन्शापुरी
मंशापुरी,Manshapuri,,1,मंशापुरी
मानपुर,Manpur,,1,उसमानपुर
मनोहरपुरा,Manoharpura,,3,केशोपुरा मनोहरपुरा
मनकेंडा,Mankenda,,3,मनकेंडा
मनकैडा,Mankaida,,1,मनकैडा
मनिया,Maniya,,3,"उजरई, मनिया"
मनीपाडा,Manipada,,1,मनीपाडा
मानिकपुरा,Manikpura,,3,मानिकपुरा
मनोहरपुर,Maniharpur,,14,"कारव 3/4, किशनपुर, मनोहरपुर, खानपुर"
मनी,Mani,,2,"खाजपुर, मनीगढ़ी बांगर"
मांगरौली,Mangrauli,,3,मांगरौली
मांगरोलगूजर,Manglorgoojar,,5,"अकबरा, मांगरोलगूजर"
मंगलपुराबरतरा,Mangalpura bartara,,1,मंगलपुराबरतरा
मंगदपुर,Mangadpur,,1,मंगदपुर
मण्डी,Mandi,,64,अनाज मण्डी
मंदाकिनी,Mandakini,,2,मंदाकिनी
मनौना,Manauna,,1,मनौना
मानागढी,Managadhi,,1,मानागढी
मानागढ़ी,Managadhi,,1,मानागढ़ी
मलूपुर,Malupur,,1,मलूपुर
मलसराय,Malsaray,,1,मलसराय
मलपुरा,Malpura,,7,अभयपुरा ( श्रीराम गैस सर्विस चौराहे से मलपुरा तक)
मल्लपुरा,Mallpura,,1,मल्लपुरा
मल्लाहपाडा,Mallahpada,,1,मल्लाहपाडा
माल,Mall,y,16,अजीत मार्केट इस्मालिया
मालियान,Maliyan,,6,कठमालियान थोक
मालीपुरा,Malipura,,1,मालीपुरा
मालीपाडा,Malipada,,2,मालीपाडा
मलिकपुर,Malikpur,,7,"कौरई, मलिकपुर"
मल्हू,Malhu,,1,मल्हू
मल्है,Malhai,,3,"अचरू लधौरा, मल्है"
मालौनी,Malauni,,3,मालौनी
मखदूम,Makhdoom,,1,"छिनपारई खादर, मखदूमपुर खादर"
मैनागढ,Mainagadh,,1,मैनागढ
मैनबाजार,Main bajar,y,1,मैनबाजार
मई,Mai,y,35,"अरसैना, मई"
महुअर,Mahuar,y,6,"अभुआपुरा T.A.बाहर, गोपऊ, महुअर"
महुअन,Mahuan,,4,महुअन
महुआ,Mahuaa,y,14,"बुरहरा, महुआ खेड़ा"
महरौली,Mahrauli,,7,महरौली
महराना,Mahrana,,6,महराना
महोली,Maholi,,11,औधोगिक क्षेत्र साइट ए (महोली)
महमदपुर,Mahmadpur,,1,महमदपुर
महगोली,Mahgoli,,1,महगोली
महदेवा,Mahdeva,,3,"डाढ़की, महदेवा"
महावतपुर,Mahavatpur,,1,महावतपुर
महाव,Mahav,,12,एल आई जी क्वार्टर महाविद्या
महतपुरा,Mahatpura,,1,महतपुरा
महर्षिपुरम,Maharshi puram,,1,महर्षिपुरम
महाराजपुर,Maharajpur,,3,महाराजपुर
महापुर,Mahapur,,1,महापुर
महनकी,Mahanki,,1,महनकी
महदऊ,Mahamduu,y,5,"इमलावदा, महदऊ"
मगूरा,Magura,,4,मगूरा
मगौर्रा,Magorra,y,3,"गोपालपुर, मगौर्रा"
मगोर्रा,Magorra,y,1,मगोर्रा
मघेरा,Maghera,,1,मघेरा
मघटई,Maghatee,y,1,मघटई
माईथान,Maeethan,y,3,टीला माईथान
मडोरा,Madora,,1,मडोरा
मढ़ेपुरा,Madhepura,,3,मढ़ेपुरा
माधवपुरी,Madhavpuri,,1,माधवपुरी
मड़ायना,Madayana,,3,मड़ायना
मडौरा,Madaura,,15,"कन्जौली घाट बांगर, कन्जौली घाट खादर, मडौरा, मडौरा"
मादौर,Madaur,,7,"कन्जौली घाट बांगर, मादौर, मादौर"
मडौई,Madauee,y,6,मडौई
मडाइरा,Madaira,y,1,मडाइरा
लुहेंटा,Luhenta,,3,लुहेंटा
लुहारगली,Luhargali,,1,लुहारगली
लुहारा,Luhara,,1,गली लुहारान
लोरियापट्टी,Loriyapatti,,3,लोरियापट्टी
लोहवन,Lohvan,,5,"कारव 3/4, रायपुर मई वांगर, लोहवन"
लोहरवारी,Loharvari,,1,लोहरवारी
लोहामण्डी,Lohamandi,,2,लोहामण्डी
लोहकरेरा,Lohakrera,,9,लोहकरेरा
लोघोली,Logholi,,1,लोघोली
लोईबाजार,Loeebajara,y,1,लोईबाजार
लोधई,Lodhai,,1,लोधई
लीलाधाम,Leeladham,,1,लीलाधाम
लेदरी,Leathery,y,1,लेदरी
लौहरवारी,Lauharvari,,6,लौहरवारी
लौहरारी,Lauharari,,1,लौहरारी
लौहई,Lauhaee,y,4,"भालई, लौहई"
लौधौली,Laudhauli,,6,लौधौली
लश्करपुर,Lashkarpur,,1,लश्करपुर
लमतौरी,Lamtauri,,1,लमतौरी
ललुआ,Laluaa,y,1,ललुआ
लालपुरा,Lalpura,,3,लालपुरा
लालपुर,Lalpur,,17,गुलालपुर खादर
लालगढी,Lalgadhi,,1,लालगढी
लालगढ़ी,Lalgadhi,,1,लालगढ़ी
लालऊ,Lalau,y,3,लालऊ
लालागंज,Lalaganj,,1,लालागंज
लक्ष्मीपुरम,Lakshmi puram,,1,लक्ष्मीपुरम
लक्ष्मीनगर,Lakshmi nagar,,2,पोतरा कुण्ड चौराहे से लक्ष्मीनगर रेलवे क्रासिंग तक
लखुरानी,Lakhurani,,3,लखुरानी
लखनपुरा,Lakhanpura,,7,"कैथोली, पहाड़ी कलाँ, लखनपुरा, ऊँटगिर"
लखनपुर,Lakhanpur,,1,"कैथोली, पहाड़ी कलाँ, लखनपुरा, ऊँटगिर"
लखनामई,Lakhanamai,y,1,लखनामई
लकावली,Lakavali,,4,लकावली
लैदरी,Laidari,,3,लैदरी
लहरारी,Lahrari,,1,लहरारी
लहरा,Lahra,,1,लहरा
लहचोरा,Lahchora,,5,"तेहरा, लहचोरा"
लादूखेड़ा,Ladukheda,,13,"गड़सान, लादूखेड़ा"
लाड़पुर,Ladpur,,12,लाड़पुर
लाडपुर,Ladpur,,1,लाडपुर
लाडलीनगर,Ladli nagar,,1,लाडलीनगर
लाढपुर,Ladhpur,,1,लाढपुर
लड़ौआपुरा,Ladaoaapura,y,1,लड़ौआपुरा
लडामदा,Ladamada,,1,लडामदा
क्यौरी,Kyauri,,3,क्यौरी
क्यारी,Kyari,,1,क्यारी
क्वारी,Kvari,,1,क्वारी
कुतलूपुर,Kutlupur,,5,कुतलूपुर
कुठावली,Kuthavali,,1,कुठावली
कुर्राचित्तरपुर,Kurrachittarpur,y,3,कुर्राचित्तरपुर
कुरकुन्दा,Kurkunda,,1,कुरकुन्दा
कुरकन्दा,Kurkanda,,3,कुरकन्दा
कुरावली,Kuravali,,3,कुरावली
कुन्जेरा,Kunjera,,3,कुन्जेरा
कुण्डौल,Kundaul,,1,कुण्डौल
कुन्दनपुरी,Kundanpuri,,1,कुन्दनपुरी
कुम्मपुरा,Kummpura,,3,कुम्मपुरा
कुम्हारपाडा,Kumharpada,,1,कुम्हारपाडा
कुम्हारान,Kumharan,,4,कुम्हारान
कुम्‍हारान,Kumharan,,1,कुम्‍हारान
कुम्हार,Kumhar,,3,कुम्हार
कुल्हाड़ा,Kulhada,,6,कुल्हाड़ा
कुल्हाडा,Kulhada,,1,कुल्हाडा
कुकथरी,Kukthari,,1,कुकथरी
कुकथला,Kukthala,,11,"उजरई, कुकथला"
कुकावर,Kukavar,,9,कुकावर
कूकापुर,Kukapur,,1,कूकापुर
कुकन्डई,Kukandai,y,1,कुकन्डई
कुकण्डई,Kukandaee,y,9,कुकण्डई
कुडवारा,Kudvara,,1,कुडवारा
कुॅजेरा,Kuchera,,1,कुॅजेरा
कुबेरपुर,Kuberpur,,1,कुबेरपुर
कृष्णापुरी,Krishnapuri,,3,कृष्णापुरी
कृष्णकुन्ज,Krishnakunj,,1,कृष्णकुन्ज
कृष्णानगर,krishna nagar,,2,कृष्णानगर
कृष्णकुंज,krishna kunj,,2,कृष्णकुंज
कृष्णबिहार,Krishna bihar,,2,कृष्णबिहार
कृपालपुरा,Kripalpura,,1,कृपालपुरा
कृपाधाम,Kripadham,,1,कृपाधाम
कोयल,Koyal,,1,कोयल
कोटवन,Kotvan,,13,आई आई डी सी कोसी कोटवन
कोतवाली,Kotvali,,1,कोतवाली
कोटला,Kotla,,1,कोटला
कोठी,Kothi,,6,कोठी
कोथरा,Kothara,,1,कोथरा
कोटा,Kota,,7,कोटा
कोट,Kot,,6,आई आई डी सी कोसी कोटवन
कोसीकलां,Kosikala,,10,कोसीकलां
कोरियान,Koriyan,,2,कोरियान
कोरथ,Korath,,1,कोरथ
कोन्हई,Koni,,1,कोन्हई
कोंडरी,Kondari,,1,कोंडरी
कोलीपाडा,kolipada,,1,कोलीपाडा
कोल्हाई,Kolhaee,,1,कोल्हाई
कोह,Koh,,1,कोह
कीठम,Kitham,,8,कीठम
किशोरपुरा,Kishorpura,,8,किशोरपुरा
किशोरीकुन्ज,Kishorikunj,,1,किशोरीकुन्ज
किशनपुर,Kishanpur,,7,"कारव 3/4, किशनपुर"
कीर्तिरामनगर,Kirtiram nagar,,1,कीर्तिरामनगर
किरारई,Kiraree,y,1,किरारई
कीलपुरा,Kilpura,,1,कीलपुरा
कीलमठ,Kilmath,,1,कीलमठ
किलौनी,Kilauni,,9,"आगई, किलौनी"
ख्वासपुरा,Khwaspura,,1,ख्वासपुरा
खुर्शी,Khurshi,,8,"आदमपुर, खुर्शी"
खुलियापुरा,Khuliyapura,,1,खुलियापुरा
खोर,Khor,,1,खोर
खोजी,Khoji,,2,खोजी
खोहरी,Khohri,,3,खोहरी
खोहरा,Khohara,,3,खोहरा
खिटाविटा,Khitavita,,6,खिटाविटा
खिरारी,Khirari,,9,"इटौली, खिरारी"
खिलावली,Khilavali,,1,खिलावली
खिच्चरपुरा,Khichharpura,,1,खिच्चरपुरा
खेतलीपुरा,Khetalipura,,1,खेतलीपुरा
खेरिया,Kheriya,,8,ईदगाह बस स्टेण्ड (प्रतापपुरा चौराहे से खेरिया हवाई अडडे तक)
खेरट,Kherat,,1,खेरट
खेरागढ़,Kheragadh,,17,खेरागढ़
खेरागढ,Kheragadh,,16,"अयेला, बसई खेरागढ्"
खेरा,Khera,,1,"अयेला, बसई खेरागढ्"
खेगपाडा,Khegpada,,1,खेगपाडा
खेडिया,Khediya,,13,कलाल खेडिया
खेडा,Kheda,,71,"अभैदोपुरा, खेडा बाकन्दा"
खायरा,Khayra,,10,"अमानुल्लापुर, खायरा"
खावल,Khaval,,3,खावल
खतवार,Khatvar,,1,खतवार
खातीपाडा,Khatipada,,1,खातीपाडा
खटीकान,Khatikan,,2,खटीकान
खतैना,Khataina,,1,खतैना
खासपुर,Khaspur,,3,खासपुर
खरवा,Kharva,,1,खरवा
खरकना,Kharkana,,1,खरकना
खरिक,Kharik,,1,खरिक
खरौट,Kharaut,,17,"कोटवन, खरौट, खरौट, कोटवन"
खरगपुरा,Kharagpura,,1,खरगपुरा
खरगपुर,Kharagpur,,1,खरगपुर
खानपुर,Khanpur,,22,"कारव 3/4, किशनपुर, मनोहरपुर, खानपुर"
खाँकडा,Khankada,y,1,खाँकडा
खांकड़ा,Khankada,,3,खांकड़ा
खण्डेर,Khander,,3,खण्डेर
खंदौली,Khandauli,,7,खेडि़या खंदौली
खंदारी,Khandari,,3,खंदारी
खाँड़ा,Khanda,y,4,खाँड़ा
खांनपुर,Khananpur,y,6,खांनपुर
खामिनी,Khamini,,1,खामिनी
खलौआ,Khalauaa,y,6,खलौआ
खाल,Khal,,1,उदयपुर खालसा
खजूरी,Khajuri,,5,"इटौली, जगतिया, भोजुआ, खजूरी, नौरंगा"
खजुआपुरा,Khajuaapura,y,1,खजुआपुरा
खाजपुर,Khajpur,,2,खाजपुर
खैरडांडा,Khairdanda,,3,खैरडांडा
खैरट,Khairat,,1,खैरट
खैरानी,Khairani,,3,खैरानी
खडवाई,Khadvaee,y,15,खडवाई
खङवाई,khadvaee,y,12,खङवाई
खाडिया,Khadiya,,1,खाडिया
खड़ैरा,Khadaira,,7,खड़ैरा
केशोपुरा,Keshopura,,2,केशोपुरा
केशीघाट,Keshighat,,2,केशीघाट
केशवकुन्ज,Keshavkunj,,1,केशवकुन्ज
कवायला,Kavayala,,2,"करनपुर, कवायला"
कौथरा,Kauthara,,1,कौथरा
कौशलपुर,Kaushalpur,,1,कौशलपुर
कौरई,Kauraee,y,8,कौरई
कौन्हई,Kaunhaee,y,1,कौन्हई
कौलारी,Kaulari,,4,कौलारी
कौलक्खा,Kaulakkha,,2,कौलक्खा
कौलाहर,Kaulahar,,5,कौलाहर
कौकेरा,Kaukera,,3,कौकेरा
कौड़री,Kaudari,,8,कौड़री
कटरा,Katra,,66,कटरा
कठवारी,Kathvari,,8,कठवारी
कठूमरी,Kathumari,,5,कठूमरी
कटघर,Katghar,,2,कटघर
कासौटी,Kasauti,,2,कासौटी
कसाईपाडा,Kasaipada,y,1,कसाईपाडा
कारवान,Karvan,,1,कारवान
कर्मयोगी,Karmyogi,,5,कर्मयोगी
करकौली,Karkauli,,3,करकौली
करहारी,Karhari,,1,करहारी
करहला,Karhala,,7,करहला
करभना,Karbhana,,1,करभना
करौधना,Karaudhana,,3,करौधना
करनपुरी,Karanpuri,,3,करनपुरी
करनपुरा,Karanpura,,1,करनपुरा
करनपुर,Karanpur,,6,करनपुर
करनऊ,Karanau,,7,करनऊ
कराही,karahi,,8,कराही
कराहरी,Karahari,,5,कराहरी
कराहरा,Karahara,,23,कराहरा
करहकी,Karahaki,,1,करहकी
कपिलनगर,Kapil nagar,,1,कपिलनगर
कंसगेट,Kans gate,y,1,कंसगेट
काँकरखेड़ा,Kankarkheda,,4,"कान्हर पुरा, काँकरखेड़ा"
कांकरगढ़ी,Kankargadhi,,1,कांकरगढ़ी
कान्हरपुरा,Kanharpura,,1,कान्हरपुरा
कंगालपाडा,Kangalpada,,1,कंगालपाडा
कानेका,Kaneka,,1,कानेका
कनैरा,Kanaira,,4,कनैरा
कमतरी,kamtari,,1,कमतरी
कम्पूघाट,Kampughat,,1,कम्पूघाट
कमौनी,Kamauni,,1,कमौनी
कामर,Kamar,,10,कामर
कमंगरपाडा,Kamangarpada,,1,कमंगरपाडा
कमालपुरा,Kamalpura,,1,कमालपुरा
कमालपुर,Kamalpur,,3,कमालपुर
कमई,Kamaee,y,11,कमई
कल्यानपुर,Kalyanpur,,2,कल्यानपुर
कलवारी,Kalvari,,1,कलवारी
कलियानपुरा,Kaliyanpura,,1,कलियानपुरा
कलींजर,Kalinjar,,1,कलींजर
कालिन्दीपुरम,Kalindipuram,,1,कालिन्दीपुरम
कालीदह,Kalidah,,1,कालीदह
कलार,Kalar,,1,कलार
ककुआ,Kakuaa,y,8,ककुआ
ककरारी,Kakrari,,3,ककरारी
ककरैठा,Kakraitha,,4,ककरैठा
काजीपुरा,Kajipura,,1,काजीपुरा
काजीपाडा,Kajipada,,4,काजीपाडा
कैथोली,Kaitholi,,4,कैथोली
कैंजरा,Kainjara,,3,कैंजरा
कैमारवन,Kaimarvan,,2,कैमारवन
कागारौल,Kagaraul,,22,उँटगिर बाईपास रोड पर कागारौल चौराहा बाईपास रोड से सर्वेश्र्वर चौराहे पर
कढेरपुरा,Kadherpura,,1,कढेरपुरा
कादौना,Kadauna,,7,कादौना
कछपुरा,Kachpura,,2,कछपुरा
काछीपुरा,Kachipura,,2,काछीपुरा
काछीपाडा,Kachipada,,1,काछीपाडा
कचौरा,Kachaura,,7,कचौरा
कचनऊ,Kachanu,y,6,कचनऊ
कच्चागढ,Kacchagadh,,1,कच्चागढ
कबूलपुर,Kabulpur,,1,कबूलपुर
जुनसुटी,Juncity,,1,जुनसुटी
जुल्हैंदी,Julhaindi,,1,जुल्हैंदी
जुझार,Jujhar,,1,जुझार
जुगसेना,Jugsena,,6,जुगसेना
जुगसना,Jugsana,,8,जुगसना
जोताना,Jotana,,9,"औलेन्डा, जोताना"
जोशियान,Joshiyan,,3,जोशियान
जोशीगली,Joshigali,,1,जोशीगली
जोरावर,Joravar,,1,जोरावर
जोगीपुरा,Jogipura,,1,जोगीपुरा
जोगीपाड़ा,Jogipada,,1,जोगीपाड़ा
जोधपुर,Jodhpur,,1,जोधपुर
जिटोरा,Jitora,,8,"कराहरा, सगुनापुर, जिटोरा"
जिरौली,Jirauli,,1,जिरौली
जिकिरियापुर,Jikiriyapur,,6,जिकिरियापुर
जिखनगांव,Jikhangaon,,1,जिखनगांव
