og_representation,doc_name_eng,mapping
डीड ऑफ कनव्हेन्स,Conveyance Deed,Sale
डिड ऑफ ट्रान्सफर,deed of transfer,Sale
डीड ऑफ ट्रान्सफर ऑफ अपार्टमेंट,Deed of transfer of Apartment,Sale
विकसनकरारनामा,Development Agreement,Sale
डेव्हलपमेंट अँग्रीमेंट,development agreement,Sale
विकसन करारनामा,Development agreement,Sale
विकसन करानामा,development agreement,Sale
पुर्ने विकसन करारनामा,Development Agreement,Sale
विसकन करारनामा,Development agreement,Sale
संयुक्त विकसन करारनामा,development agreement,Sale
मुदत खरेदीखत,Fixed Purchase Deed,Sale
अविभाज्य हिश्याची पूर्ण विक्री,Full Land Sale,Sale
अविभाज्य हिश्याची अंशतः विक्री,Partial Sale,Sale
ताबा करारनामा,Possession agreement,Sale
ताबे करारनामा,Possession agreement,Sale
विनाताबा साठेखत,Possession agreement,Sale
ताबे साठेखत,Possession letter,Sale
ताबेसाठेखत,Possession letter,Sale
बिन ताब्याचे साठेखत,Possession/Sale Deed,Sale
ताब्याचे साठेखत,Possession/Sale Deed,Sale
खरेदी चा करारनामा,purchase agreement,Sale
खरेदीखत,Purchase Deed,Sale
फरोक्तखरेदीखत,purchase deed,Sale
ख्ररेदीखत,purchase deed,Sale
खरेदीख्रत,purchase deed,Sale
खरेदीखत-,Purchase deed,Sale
खरेदीखत +,Purchase deed,Sale
खरदीखत,Purchase deed,Sale
अभिहस्तातंरणपत्र/ खरेदीखत,purchase deed,Sale
उलट खरेदीखत,Reverse Purchase Deed,Sale
विक्रीचे प्रमाणपत्र,Sale Certificate,Sale
सेल सर्टिफिकेट,sale certificate,Sale
विक्री प्रमाणपत्र,sale certificate,Sale
कायम खुषखरेदीखत,Sale Deed,Sale
खुषखरेदीखत,Sale Deed,Sale
सेल डीड,Sale Deed,Sale
सेल डिड,sale deed,Sale
सेलडिड,sale deed,Sale
सेल डिड / असाईमेंट,sale deed,Sale
SALE DEED,SALE DEED,Sale
डीड ऑफ सेल,Sale Deed,Sale
सेल डीड कम डिड ऑफ अपार्टमेंट,Sale deed cum apartment deed,Sale
विक्रीपत्र,sale letter,Sale
बैचेनपत्र,sale letter,Sale
पुरवणी करारनामा,Supplementary Agreement,Sale
सप्लीमेंट्री अँग्रीमेंट,Supplementary Agreement,Sale
पर्यायी जागेचा करार,supplementary agreement,Sale
पुरवणी दस्त,supplementary agreement,Sale
68-पुरवणी करारनामा,Supplementary Agreement,Sale
पुरक करारनामा वजा संमतीपत्र,supplementary agreement,Sale
पुरक खरेदीखत,Supplementary Agreement,Sale
पुरवणी व दुरुस्ती दस्त,supplementary agreement,Sale
पुरवणी विकसन करारनामा,supplementary development agreement,Sale
59-हस्तांतरण,transfer,Sale
हस्तांतरण,transfer,Sale
59-Transfer,transfer,Sale
कुळहक्काचे हस्तांतरणाचे करारनामा,transfer agreement,Sale
अभिहस्तांतरणपत्र,Transfer Deed,Sale
ट्रान्सफर डीड,Transfer Deed,Sale
डीड ऑफ ट्रान्सफर,transfer deed,Sale
ट्रान्सफर डिड,transfer deed,Sale
अभिहस्तातंरणपत्र (डिड ऑफ ट्रान्सफर ),transfer deed,Sale
हस्तांतरण दस्त,transfer document,Sale
तबदीलपत्र,Transfer Letter,Sale
हस्तांतरणपत्र,Transfer Letter,Sale
तबदिलपत्र,transfer letter,Sale
तबदिल पत्र,transfer letter,Sale
भिहस्तातंरणपत्र,Transfer letter,Sale
हस्तांतरण पत्र,transfer letter,Sale
प्रमाणपत्र,certificate,Sale
प्रमाणपत्र किंवा अन्य दस्तऐवज,certificate and other documents,Sale
सर्टिफिकेट ऑफ सेल,certificate of sale,Sale
विक्री दाखला,certificate of sale,Sale
16-विक्रीचे प्रमाणपत्र,Certificate of sale,Sale
